action_violation,actual_allowed,actual_error_code,actual_executor_calls,actual_failure_count,actual_final_state,actual_loop_status,actual_requires_refinement,actual_risk_level,actual_selection,actual_verification,all_match,atomic_action_count,case_id,category,config,decision_calls,decision_violation,dimension,entered_executor,error_code_match,exact_match,executor_calls,expected_allowed,expected_error_code,expected_executor_calls,expected_failure_count,expected_final_state,expected_history_version_count,expected_loop_status,expected_requires_refinement,expected_risk_level,expected_selected_strategy_kind,expected_status,expected_verification,failure_match,final_status,initial_state,max_decision_calls,max_steps,nonsemantic_pollution,note,oracle_match,part,reason,recovery_budget,recovery_count,recovery_violation,selection_match,sequence_id,state_match,status_match,stop_reason,type_level_rejected,unexpected_reject,verifier,zero_exec
,False,FINGERPRINT_MISMATCH,0,,,guard_reject,False,high,,,,,stale_candidate_map,candidate_map_mismatch,"ActionGuardConfig(screen_width=1280, screen_height=800, sensitive_keywords=[], allow_tap_visual_fallback=True, min_candidate_confidence=0.5, min_clickable_likelihood=0.3, allow_ocr_only_tap=True)",,,stale_screen_version,,True,,,False,FINGERPRINT_MISMATCH,0,,,,guard_reject,False,high,,,,,,,,,,,,part1_guard,,,,,,,,,,,,,True
,False,CANDIDATE_NOT_FOUND,0,,,guard_reject,False,high,,,,,nonexistent_candidate_id,candidate_unreachable,"ActionGuardConfig(screen_width=1280, screen_height=800, sensitive_keywords=[], allow_tap_visual_fallback=True, min_candidate_confidence=0.5, min_clickable_likelihood=0.3, allow_ocr_only_tap=True)",,,missing_candidate,,True,,,False,CANDIDATE_NOT_FOUND,0,,,,guard_reject,False,high,,,,,,,,,,,,part1_guard,,,,,,,,,,,,,True
,False,PAGE_MISMATCH,0,,,guard_reject,False,high,,,,,screen_fingerprint_mismatch,candidate_map_mismatch,"ActionGuardConfig(screen_width=1280, screen_height=800, sensitive_keywords=[], allow_tap_visual_fallback=True, min_candidate_confidence=0.5, min_clickable_likelihood=0.3, allow_ocr_only_tap=True)",,,screen_fingerprint,,True,,,False,PAGE_MISMATCH,0,,,,guard_reject,False,high,,,,,,,,,,,,part1_guard,,,,,,,,,,,,,True
,False,CANDIDATE_MAP_PACKAGE_MISMATCH,0,,,guard_reject,False,high,,,,,package_mismatch,candidate_map_mismatch,"ActionGuardConfig(screen_width=1280, screen_height=800, sensitive_keywords=[], allow_tap_visual_fallback=True, min_candidate_confidence=0.5, min_clickable_likelihood=0.3, allow_ocr_only_tap=True)",,,package,,True,,,False,CANDIDATE_MAP_PACKAGE_MISMATCH,0,,,,guard_reject,False,high,,,,,,,,,,,,part1_guard,,,,,,,,,,,,,True
,False,CANDIDATE_MAP_ACTIVITY_MISMATCH,0,,,guard_reject,False,high,,,,,activity_mismatch,candidate_map_mismatch,"ActionGuardConfig(screen_width=1280, screen_height=800, sensitive_keywords=[], allow_tap_visual_fallback=True, min_candidate_confidence=0.5, min_clickable_likelihood=0.3, allow_ocr_only_tap=True)",,,activity,,True,,,False,CANDIDATE_MAP_ACTIVITY_MISMATCH,0,,,,guard_reject,False,high,,,,,,,,,,,,part1_guard,,,,,,,,,,,,,True
,False,BBOX_OUT_OF_SCREEN,0,,,guard_reject,False,high,,,,,bbox_right_out,bbox_out_of_screen,"ActionGuardConfig(screen_width=1280, screen_height=800, sensitive_keywords=[], allow_tap_visual_fallback=True, min_candidate_confidence=0.5, min_clickable_likelihood=0.3, allow_ocr_only_tap=True)",,,right_out,,True,,,False,BBOX_OUT_OF_SCREEN,0,,,,guard_reject,False,high,,,,,,,,,,,,part1_guard,,,,,,,,,,,,,True
,False,BBOX_OUT_OF_SCREEN,0,,,guard_reject,False,high,,,,,bbox_bottom_out,bbox_out_of_screen,"ActionGuardConfig(screen_width=1280, screen_height=800, sensitive_keywords=[], allow_tap_visual_fallback=True, min_candidate_confidence=0.5, min_clickable_likelihood=0.3, allow_ocr_only_tap=True)",,,bottom_out,,True,,,False,BBOX_OUT_OF_SCREEN,0,,,,guard_reject,False,high,,,,,,,,,,,,part1_guard,,,,,,,,,,,,,True
,False,OCR_ONLY_NOT_ALLOWED,0,,,needs_refinement,True,low,,,,,ocr_only_no_refine,refinement,"ActionGuardConfig(screen_width=1280, screen_height=800, sensitive_keywords=[], allow_tap_visual_fallback=True, min_candidate_confidence=0.5, min_clickable_likelihood=0.3, allow_ocr_only_tap=False)",,,ocr_only,,True,,,False,OCR_ONLY_NOT_ALLOWED,0,,,,needs_refinement,True,low,,,,,,,,,,,,part1_guard,,,,,,,,,,,,,True
,False,LOW_CONFIDENCE,0,,,needs_refinement,True,low,,,,,confidence_below,refinement,"ActionGuardConfig(screen_width=1280, screen_height=800, sensitive_keywords=[], allow_tap_visual_fallback=True, min_candidate_confidence=0.5, min_clickable_likelihood=0.3, allow_ocr_only_tap=True)",,,confidence_below,,True,,,False,LOW_CONFIDENCE,0,,,,needs_refinement,True,low,,,,,,,,,,,,part1_guard,,,,,,,,,,,,,True
,False,LOW_CLICKABLE_LIKELIHOOD,0,,,needs_refinement,True,low,,,,,clickable_below,refinement,"ActionGuardConfig(screen_width=1280, screen_height=800, sensitive_keywords=[], allow_tap_visual_fallback=True, min_candidate_confidence=0.5, min_clickable_likelihood=0.3, allow_ocr_only_tap=True)",,,clickable_below,,True,,,False,LOW_CLICKABLE_LIKELIHOOD,0,,,,needs_refinement,True,low,,,,,,,,,,,,part1_guard,,,,,,,,,,,,,True
,False,SENSITIVE_TARGET,0,,,needs_user_confirmation,False,medium,,,,,action_semantics_sensitive,sensitive,"ActionGuardConfig(screen_width=1280, screen_height=800, sensitive_keywords=[], allow_tap_visual_fallback=True, min_candidate_confidence=0.5, min_clickable_likelihood=0.3, allow_ocr_only_tap=True)",,,target_semantics_mismatch,,True,,,False,SENSITIVE_TARGET,0,,,,needs_user_confirmation,False,medium,,,,,,,,,,,,part1_guard,,,,,,,,,,,,,True
,False,SENSITIVE_TARGET,0,,,guard_reject,False,high,,,,,payment_risk,sensitive,"ActionGuardConfig(screen_width=1280, screen_height=800, sensitive_keywords=[], allow_tap_visual_fallback=True, min_candidate_confidence=0.5, min_clickable_likelihood=0.3, allow_ocr_only_tap=True)",,,payment,,True,,,False,SENSITIVE_TARGET,0,,,,guard_reject,False,high,,,,,,,,,,,,part1_guard,,,,,,,,,,,,,True
