trace_id,case_id,category,app_profile,device_model,android_version,screen_size,orientation,before_screenshot,after_screenshot,expected_target_state,human_ground_truth,before_control_bar_visible,after_control_bar_visible,notes
legal_actions_0000_c0401ac3,legal_play_pause_00,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=media_key, status=stopped_unverified"
legal_actions_0001_f4e039a5,legal_play_pause_01,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=media_key, status=stopped_unverified"
legal_actions_0002_c2549739,legal_play_pause_02,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=media_key, status=stopped_unverified"
legal_actions_0003_12d35937,legal_play_pause_03,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=media_key, status=stopped_unverified"
legal_actions_0004_16e3fe77,legal_play_pause_04,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=media_key, status=stopped_unverified"
legal_actions_0005_4a3fb53d,legal_play_pause_05,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=media_key, status=stopped_unverified"
legal_actions_0006_bcd7acdf,legal_play_pause_06,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=media_key, status=stopped_unverified"
legal_actions_0007_7b1c0869,legal_play_pause_07,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=media_key, status=stopped_unverified"
legal_actions_0008_f8f5858b,legal_play_pause_08,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=media_key, status=stopped_unverified"
legal_actions_0009_ebca6785,legal_play_pause_09,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=media_key, status=stopped_unverified"
legal_actions_0010_43bd3266,legal_dpad_up_00,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=remote_key, status=stopped_unverified"
legal_actions_0011_b23b3443,legal_dpad_up_01,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=remote_key, status=stopped_unverified"
legal_actions_0012_84bb39b0,legal_dpad_up_02,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=remote_key, status=stopped_unverified"
legal_actions_0013_16392301,legal_dpad_up_03,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=remote_key, status=stopped_unverified"
legal_actions_0014_4d5b4c99,legal_dpad_down_04,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=remote_key, status=stopped_unverified"
legal_actions_0015_765227e5,legal_dpad_down_05,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=remote_key, status=stopped_unverified"
legal_actions_0016_9fcccdd8,legal_dpad_down_06,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=remote_key, status=stopped_unverified"
legal_actions_0017_3ef0d591,legal_dpad_down_07,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=remote_key, status=stopped_unverified"
legal_actions_0018_36221052,legal_dpad_left_08,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=remote_key, status=stopped_unverified"
legal_actions_0019_c66b51be,legal_dpad_left_09,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=remote_key, status=stopped_unverified"
legal_actions_0020_2a6905f4,legal_dpad_left_10,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=remote_key, status=stopped_unverified"
legal_actions_0021_30b9f216,legal_dpad_left_11,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=remote_key, status=stopped_unverified"
legal_actions_0022_60512800,legal_dpad_right_12,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=remote_key, status=stopped_unverified"
legal_actions_0023_46b05225,legal_dpad_right_13,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=remote_key, status=stopped_unverified"
legal_actions_0024_46f3fba5,legal_dpad_right_14,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=remote_key, status=stopped_unverified"
legal_actions_0025_0da79880,legal_back_00,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=back, status=stopped_unverified"
legal_actions_0026_6a4bf838,legal_back_01,legal_actions,tencent_v1,AZ102u-10,9,"[1280, 800]",landscape,,,,,,,"action=back, status=stopped_unverified"
